message_id,date,sender_id,message,media_path,youtube_link
12354,2024-10-09 03:42:49+00:00,-1001666492664,"prenatal 90 gummies 
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12354.jpg,
12352,2024-10-09 03:42:49+00:00,-1001666492664,"fish oil 150 softgels 
price 4000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12352.jpg,
12351,2024-10-09 03:42:49+00:00,-1001666492664,"natures bounty vitamin b12 200 tablets 
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12351.jpg,
12350,2024-10-09 03:42:49+00:00,-1001666492664,"biotin 10000 mcg
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12350.jpg,
12349,2024-10-09 03:42:49+00:00,-1001666492664,"ocuvite 120 tablets 
price 8000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12349.jpg,
12348,2024-10-09 03:42:49+00:00,-1001666492664,"iron 365 tablets 
price 5000 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት 
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12348.jpg,
12347,2024-10-09 03:42:49+00:00,-1001666492664,"vitamin b12 400 softgels 
price 5500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12347.jpg,
12346,2024-10-09 03:42:49+00:00,-1001666492664,"postnatal 60 softgels 
price 6500 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12346.jpg,
12345,2024-10-08 13:38:53+00:00,-1001666492664,"sardine 
price 800 birr each 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12345.jpg,
12344,2024-10-08 12:18:47+00:00,-1001666492664,"unsalted mixed nuts 
price 3600 birr 
telegram 
msg lobelia pharmacy and cosmetics 
 call 09115620310911587703
adress infront of bole medhanialem high school 
open monday  monday from 8am until midnight ከሰኞ  እስከ ሰኞ  ከጧቱ 200 ስዓት  እስከ ምሽቱ 600 ሰዓት
 የትራንስፖርት አማራጭ ከ70  200 ብር
for delivery option fees are from 70 birr  200 birr",raw/media/12344.jpg,
